alloy_family,grade,element,min,max,target,description
stainless_steel,304,C,,0.08,0.05,Austenitic stainless
stainless_steel,304,Cr,18.0,20.0,18.5,Austenitic stainless
stainless_steel,304,Ni,8.0,10.5,9.0,Austenitic stainless
stainless_steel,304,Mn,,2.0,1.5,Austenitic stainless
stainless_steel,304,Si,,1.0,0.5,Austenitic stainless
stainless_steel,304,P,,0.045,,Austenitic stainless
stainless_steel,304,S,,0.03,,Austenitic stainless
stainless_steel,316,C,,0.08,0.05,Marine grade stainless
stainless_steel,316,Cr,16.0,18.0,17.0,Marine grade stainless
stainless_steel,316,Ni,10.0,14.0,12.0,Marine grade stainless
stainless_steel,316,Mo,2.0,3.0,2.5,Marine grade stainless
stainless_steel,316,Mn,,2.0,1.5,Marine grade stainless
stainless_steel,316,Si,,1.0,0.5,Marine grade stainless
aluminum,6061,Si,0.4,0.8,0.6,General purpose
aluminum,6061,Mg,0.8,1.2,1.0,General purpose
aluminum,6061,Cu,0.15,0.4,0.25,General purpose
aluminum,6061,Cr,0.04,0.35,0.2,General purpose
aluminum,6061,Fe,,0.7,0.4,General purpose
aluminum,7075,Zn,5.1,6.1,5.6,Aerospace grade
aluminum,7075,Mg,2.1,2.9,2.5,Aerospace grade
aluminum,7075,Cu,1.2,2.0,1.6,Aerospace grade
aluminum,7075,Cr,0.18,0.28,0.23,Aerospace grade
titanium,Ti-6Al-4V,Al,5.5,6.75,6.0,Aerospace titanium
titanium,Ti-6Al-4V,V,3.5,4.5,4.0,Aerospace titanium
titanium,Ti-6Al-4V,Fe,,0.3,0.2,Aerospace titanium
titanium,Ti-6Al-4V,O,,0.2,0.15,Aerospace titanium
titanium,Ti-6Al-4V,C,,0.08,0.05,Aerospace titanium
carbon_steel,1045,C,0.43,0.50,0.46,Medium carbon
carbon_steel,1045,Mn,0.60,0.90,0.75,Medium carbon
carbon_steel,1045,P,,0.04,,Medium carbon
carbon_steel,1045,S,,0.05,,Medium carbon
