topic,pages,keywords
mission,"1,2","mission, sustainable energy, electric cars, vision, purpose"
master_plan,"2","master plan, roadmap, strategy, timeline, history, founding"
organization,"3","organization, structure, CEO, departments, teams, agile, tech"
financials,"4","revenue, profit, gross margin, employees, market share, sales"
battery_technology,"5,33","battery, kWh, cost reduction, cells, Panasonic, Gigafactory, range"
vehicle_cost,"6","cost, material, powertrain, electronics, body, chassis"
models,"7","Model S, Model X, Model 3, Model Y, Cybertruck, pricing, demographics"
customer_journey,"8","customer journey, awareness, consideration, purchase, ownership, service"
showrooms,"9","showroom, retail, stores, locations, marketing, advertising"
direct_sales,"10,11,12,13,14,15,46","direct sales, online, ordering, purchase, delivery, consumer"
financing,"17","financing, lease, loan, bank, terms, rates, payment"
ota_updates,"18,19,20","OTA, over-the-air, software update, Autopilot, features, subscription"
owner_account,"21","owner account, mobile app, website, features, management"
service,"22","service, repair, mobile service, service center, maintenance, diagnostics"
sku_simplification,"23","SKU, configuration, options, simplification, inventory"
operating_model,"24,25","operating model, agile, decision making, culture, organization"
manufacturing,"26,27,28,29,30,31,32","manufacturing, factory, Gigafactory, production, automation, robots"
charging,"33","charging, Supercharger, infrastructure, network, stations"
incentives,"34,35,36","incentives, tax credit, rebate, savings, state"
distribution,"37,38","distribution, network, delivery centers, warehouses, logistics"
trade_in,"39,40,41","trade-in, lease return, used vehicles, auction"
sales_tax,"42","sales tax, registration, DMV, Texas"
competitors,"43,44,45","Ford, Rivian, Polestar, Lucid, Mach-E, competitors"
regulations,"46","regulations, legal, dealer laws, direct sales, state laws"
