source_platform,target_platform,compatibility,migration_cost_factor,timeline_months
SAP S/4HANA,SAP S/4HANA,high,0.10,6
SAP S/4HANA,SAP ECC,medium,0.40,12
SAP S/4HANA,Oracle EBS,low,0.80,18
SAP S/4HANA,Oracle Cloud,low,0.70,18
SAP S/4HANA,Microsoft Dynamics,low,0.75,18
Oracle EBS,Oracle EBS,high,0.10,6
Oracle EBS,Oracle Cloud,medium,0.50,12
Oracle Cloud,Oracle Cloud,high,0.15,6
Microsoft Dynamics,Microsoft Dynamics,high,0.10,6
Workday,Workday,high,0.10,4
Salesforce,Salesforce,high,0.15,6
ServiceNow,ServiceNow,high,0.15,4
